"","states","confirmed","cured","death"
"1","Andaman and Nicobar","4945","4826","62"
"2","Andhra Pradesh","882286","871916","7108"
"3","Arunachal Pradesh","16719","16564","56"
"4","Assam","216211","211910","1045"
"5","Bihar","251743","245476","1397"
"6","Chandigarh","19748","19045","317"
"7","Chhattisgarh","279575","264769","3371"
"8","Dadra and Nagar Haveli and Daman and Diu","3378","3365","2"
"9","Delhi","625369","609322","10536"
"10","Goa","51066","49388","739"
"11","Gujarat","245038","230893","4306"
"12","Haryana","262325","255853","2905"
"13","Himachal Pradesh","55277","51728","934"
"14","Jammu and Kashmir","120971","116079","1883"
"15","Jharkhand","115113","112424","1030"
"16","Karnataka","919496","896116","12090"
"17","Kerala","760933","692480","3072"
"18","Ladakh","9466","9144","127"
"19","Lakshadweep","0","0","0"
"20","Maharashtra","1932112","1828546","49521"
"21","Manipur","28188","26678","355"
"22","Meghalaya","13427","13139","139"
"23","Mizoram","4216","4098","8"
"24","Madhya Pradesh","241791","228831","3606"
"25","Nagaland","11927","11646","79"
"26","Odisha","329621","325432","1873"
"27","Puducherry","38132","37115","633"
"28","Punjab","166522","157496","5341"
"29","Rajasthan","308243","295987","2696"
"30","Sikkim","5889","5233","127"
"31","Tamil Nadu","818014","797391","12122"
"32","Telengana","286815","279456","1544"
"33","Tripura","33268","32779","385"
"34","Uttar Pradesh","585902","563278","8364"
"35","Uttarakhand","90920","84692","1509"
"36","West Bengal","552063","530366","9712"
