"","Name","Director_Name","rating","votes"
"1","The Shawshank Redemption","Frank Darabont","9.3","2,298,208"
"2","The Godfather","Francis Ford Coppola","9.2","1,586,115"
"3","The Dark Knight","Christopher Nolan","9.0","2,262,287"
"4","The Godfather: Part II","Francis Ford Coppola","9.0","1,108,178"
"5","The Lord of the Rings: The Return of the King","Peter Jackson","8.9","1,615,545"
"6","Pulp Fiction","Quentin Tarantino","8.9","1,794,413"
"7","Schindler's List","Steven Spielberg","8.9","1,192,726"
"8","12 Angry Men","Sidney Lumet","8.9","675,271"
"9","Inception","Christopher Nolan","8.8","2,024,327"
"10","Fight Club","David Fincher","8.8","1,821,701"
"11","The Lord of the Rings: The Fellowship of the Ring","Peter Jackson","8.8","1,631,321"
"12","Forrest Gump","Robert Zemeckis","8.8","1,770,907"
"13","Il buono, il brutto, il cattivo","Sergio Leone","8.8","677,639"
"14","Hamilton","Thomas Kail","8.7","44,694"
"15","The Lord of the Rings: The Two Towers","Peter Jackson","8.7","1,460,210"
"16","The Matrix","Lana Wachowski","8.7","1,645,203"
"17","Goodfellas","Martin Scorsese","8.7","1,000,511"
"18","Star Wars: Episode V - The Empire Strikes Back","Irvin Kershner","8.7","1,140,114"
"19","One Flew Over the Cuckoo's Nest","Milos Forman","8.7","902,318"
"20","Gisaengchung","Bong Joon Ho","8.6","496,624"
"21","Vikram Vedha","Gayatri","8.6","25,097"
"22","Interstellar","Christopher Nolan","8.6","1,470,166"
"23","Cidade de Deus","Fernando Meirelles","8.6","690,099"
"24","Sen to Chihiro no kamikakushi","Hayao Miyazaki","8.6","634,478"
"25","Saving Private Ryan","Steven Spielberg","8.6","1,213,738"
"26","The Green Mile","Frank Darabont","8.6","1,123,418"
"27","La vita è bella","Roberto Benigni","8.6","611,246"
"28","Se7en","David Fincher","8.6","1,415,515"
"29","The Silence of the Lambs","Jonathan Demme","8.6","1,246,102"
"30","Star Wars","George Lucas","8.6","1,211,873"
"31","Seppuku","Masaki Kobayashi","8.6","38,914"
"32","Shichinin no samurai","Akira Kurosawa","8.6","310,634"
"33","It's a Wonderful Life","Frank Capra","8.6","391,138"
"34","Joker","Todd Phillips","8.5","885,295"
"35","Whiplash","Damien Chazelle","8.5","698,558"
"36","The Intouchables","Olivier Nakache","8.5","743,124"
"37","The Prestige","Christopher Nolan","8.5","1,166,318"
"38","The Departed","Martin Scorsese","8.5","1,168,652"
"39","The Pianist","Roman Polanski","8.5","714,508"
"40","Gladiator","Ridley Scott","8.5","1,318,073"
"41","American History X","Tony Kaye","8.5","1,020,677"
"42","The Usual Suspects","Bryan Singer","8.5","976,022"
"43","Léon","Luc Besson","8.5","1,016,217"
"44","The Lion King","Roger Allers","8.5","924,779"
"45","Terminator 2: Judgment Day","James Cameron","8.5","981,665"
"46","Nuovo Cinema Paradiso","Giuseppe Tornatore","8.5","225,569"
"47","Hotaru no haka","Isao Takahata","8.5","228,696"
"48","Back to the Future","Robert Zemeckis","8.5","1,037,214"
"49","Anand","Hrishikesh Mukherjee","8.5","28,973"
"50","Once Upon a Time in the West","Sergio Leone","8.5","297,986"
